d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,rec_esc,recovery,resid_spread,residency,top1
0.0,0.0,nan,0.0,1.0,budget,1524,full,5.0389,13.833,5.068,4.796,5.3,5.847,3.343,4.233,0.0,1.0,0.0,1.0,1.0
2.8451,0.0,nan,nan,0.125,budget,1524,h2o,7.884,136.866,14.552,6.063,7.261,6.453,4.011,5.577,0.0,0.7737,0.0,0.1261,0.7579
