d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.0,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,0.0,1.0,0.0,1.0,1.0
2.6401,0.0,nan,nan,0.125,budget,14394,h2o,7.8663,49.698,12.877,8.004,7.176,6.644,6.148,7.09,5.309,0.0,0.7842,0.0,0.1263,0.7523
7.5778,0.0,nan,nan,0.06,budget,14394,h2o,12.804,401.713,32.669,12.592,10.352,8.829,7.728,8.037,8.251,0.0,0.6693,0.0,0.0614,0.6317
18.2074,0.0,nan,nan,0.03,budget,14394,h2o,23.4336,2025.634,151.136,26.275,18.582,12.011,11.623,11.791,10.833,0.0,0.5647,0.0,0.0315,0.5232
1.8094,0.0,nan,nan,0.125,budget,14394,snapkv,7.0356,10.352,7.68,7.634,7.52,6.953,6.178,7.429,5.191,0.0,0.8794,0.0,0.2318,0.8303
2.313,0.0,nan,nan,0.06,budget,14394,snapkv,7.5392,10.352,7.68,8.044,8.05,7.811,6.737,7.834,5.371,0.0,0.8548,0.0,0.1777,0.8116
2.6305,0.0,nan,nan,0.03,budget,14394,snapkv,7.8567,10.352,7.68,8.044,8.117,8.216,7.099,8.325,5.543,0.0,0.8393,0.0,0.1577,0.801
