d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,rec_esc,recovery,resid_spread,residency,top1
0.0,0.8455,nan,0.0,1.0,budget,1524,full,5.0389,13.833,5.068,4.796,5.3,5.847,3.343,4.233,1.0,1.0,0.0,1.0,1.0
0.2432,0.8606,nan,nan,9.0,budget,1524,page_oracle,5.2821,14.111,5.1,4.922,5.712,6.048,3.503,4.555,0.7056,0.8609,0.0011,0.1421,0.9016
