d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.8416,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,1.0,1.0,0.0,1.0,1.0
3.1422,0.8687,0.5015,nan,4,k,14394,routed,8.3684,11.773,8.394,7.971,8.362,7.68,7.901,9.308,8.083,0.5424,0.7733,0.0131,0.1418,0.6972
0.3785,0.8608,0.847,nan,4,k,14394,cluster_oracle,5.6047,8.795,6.226,6.133,5.345,5.117,5.542,6.373,5.099,0.6646,0.8451,0.0195,0.1433,0.8799
