d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.0,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,0.0,1.0,0.0,1.0,1.0
2.2904,0.0,nan,nan,8.0,budget,14394,page_oracle_lag32,7.5166,10.563,8.6,7.806,7.563,7.127,6.72,7.679,5.987,0.0,0.8207,0.001,0.1596,0.7913
2.9314,0.0,nan,nan,8.0,budget,14394,page_oracle_lag64,8.1576,10.836,8.92,8.236,8.502,7.947,7.066,8.323,6.296,0.0,0.8021,0.0002,0.1642,0.7577
2.1163,0.0,nan,nan,8.0,budget,14394,page_oracle_noresetlag16,7.3425,11.252,9.0,7.968,7.556,7.17,6.642,7.388,5.762,0.0,0.8052,0.0029,0.1476,0.7923
