d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.0,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,0.0,1.0,0.0,1.0,1.0
1.6676,0.0,nan,nan,9.0,budget,14394,page_oracle_lag1,6.8938,24.115,10.92,8.203,6.443,5.744,5.941,6.722,5.045,0.0,0.8179,0.001,0.1423,0.7996
439.6831,0.0,nan,nan,9.0,budget,14394,page_oracle_lag16,444.9093,655.298,897.21,1174.624,1547.935,985.498,448.15,160.41,100.851,0.0,0.6625,0.0002,0.1467,0.1849
13.9956,0.0,nan,nan,9.0,budget,14394,page_oracle_lag4,19.2218,262.199,119.43,40.149,19.125,12.411,10.811,10.121,7.325,0.0,0.7569,0.0006,0.1439,0.5686
