d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.8416,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,1.0,1.0,0.0,1.0,1.0
0.1024,0.8467,nan,nan,0.1433,budget,14394,oracle,5.3286,13.179,6.109,5.795,4.958,4.671,5.06,5.914,4.619,0.8515,0.9285,0.0,0.1446,0.9374
0.0572,0.8489,0.9361,nan,8,k,14394,cluster_oracle,5.2834,8.567,5.998,5.864,5.068,4.806,5.145,6.036,4.699,0.8347,0.9272,0.0259,0.2545,0.9414
1.8336,0.8819,0.3186,nan,2,k,14394,cluster_oracle,7.0598,11.108,7.74,7.58,6.581,6.365,7.127,7.948,6.706,0.4274,0.7076,0.0144,0.0883,0.7468
