d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.0,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,0.0,1.0,0.0,1.0,1.0
0.1554,0.0,nan,nan,8.0,budget,14394,page_oracle_lag0,5.3816,8.517,6.041,5.996,5.17,4.9,5.234,6.179,4.765,0.0,0.8612,0.0046,0.1354,0.9102
0.3997,0.0,nan,nan,8.0,budget,14394,page_oracle_lag1,5.6259,9.332,6.452,6.219,5.497,5.171,5.346,6.309,4.89,0.0,0.8386,0.0045,0.1362,0.8831
2.0732,0.0,nan,nan,8.0,budget,14394,page_oracle_lag16,7.2994,11.252,8.873,7.865,7.574,7.211,6.49,7.427,5.734,0.0,0.8156,0.0029,0.1476,0.7948
1.1251,0.0,nan,nan,8.0,budget,14394,page_oracle_lag4,6.3513,10.601,7.695,7.352,6.373,5.843,5.971,6.725,5.229,0.0,0.8222,0.0042,0.1384,0.8324
