d_ppl,esc_rate,h_esc,kl,knob,knob_kind,n_tok,policy,ppl,ppl_t0,ppl_t1,ppl_t2,ppl_t3,ppl_t4,ppl_t5,ppl_t6,ppl_t7,rec_esc,recovery,resid_spread,residency,top1
0.0,0.0,nan,0.0,1.0,budget,14394,full,5.2262,8.488,5.933,5.856,5.02,4.694,5.084,5.938,4.654,0.0,1.0,0.0,1.0,1.0
3.4025,0.0,nan,nan,0.135,budget,14394,streaming,8.6287,56.488,16.127,9.981,8.913,7.929,6.39,7.134,5.405,0.0,0.7657,0.0,0.1363,0.7533
2.8627,0.0,nan,nan,0.16,budget,14394,streaming,8.0889,45.385,14.719,9.36,8.56,7.302,5.881,6.85,5.197,0.0,0.7881,0.0,0.1612,0.776
2.7945,0.0,nan,nan,0.164,budget,14394,streaming,8.0207,43.546,14.438,9.324,8.544,7.138,5.857,6.849,5.186,0.0,0.7914,0.0,0.1652,0.7779
2.431,0.0,nan,nan,0.135,budget,14394,h2o,7.6572,44.503,12.324,7.927,7.102,6.541,6.096,6.968,5.317,0.0,0.795,0.0,0.1363,0.7631
1.8833,0.0,nan,nan,0.16,budget,14394,h2o,7.1095,34.69,10.575,7.455,6.643,6.195,5.823,6.848,5.129,0.0,0.819,0.0,0.1612,0.7869
1.7911,0.0,nan,nan,0.164,budget,14394,h2o,7.0173,31.744,10.282,7.533,6.622,6.194,5.773,6.786,5.143,0.0,0.8234,0.0,0.1652,0.7941
